id,telephone,email,devices,location,Android,Desktop,Iphone,city,name,country,first_name,last_name
0117,455-692-4736,priya.moore@example.com,,,0.0,1.0,0.0,Paris,Priya Moore,Unknown,Priya,Moore
0118,222-241-5406,sean.bolton@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Sean,Bolton
0119,226-392-7970,arron.peck@example.com,,,1.0,0.0,1.0,Paris,Arron Peck,Unknown,Arron,Peck
0120,665-725-2354,justin.rowland@example.com,,,1.0,0.0,1.0,Paris,Justin Rowland,Unknown,Justin,Rowland
0121,527-756-7352,jasper.brandt@example.com,['Desktop'],"{'City': 'London', 'Country': 'United Kingdom'}",0.0,1.0,0.0,London,Jasper Brandt,United Kingdom,Jasper,Brandt
0122,223-114-4003,teresa.mccarty@example.com,"['Iphone', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",0.0,1.0,1.0,Toronto,Teresa Mccarty,Canada,Teresa,Mccarty
0123,382-879-9946,finnian.fisher@example.com,"['Android', 'Iphone']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,0.0,1.0,Toronto,Finnian Fisher,Canada,Finnian,Fisher
0124,402-586-5192,carol.york@example.com,['Android'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Carol,York
0125,921-528-9551,nora.ball@example.com,,,0.0,1.0,0.0,Barcelona,Nora Ball,Unknown,Nora,Ball
0126,424-390-3432,bessie.cole@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Bessie,Cole
0127,301-750-7631,zoya.giles@example.com,"['Android', 'Iphone']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,0.0,1.0,Toronto,Zoya Giles,Canada,Zoya,Giles
0128,935-337-2537,malik.cuevas@example.com,['Android'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Malik,Cuevas
0129,487-150-9471,alejandro.duncan@example.com,['Desktop'],"{'City': 'London', 'Country': 'United Kingdom'}",0.0,1.0,0.0,London,Alejandro Duncan,United Kingdom,Alejandro,Duncan
0130,928-400-6426,zohaib.hartman@example.com,['Desktop'],"{'City': 'Montreal', 'Country': 'Canada'}",0.0,1.0,0.0,Montreal,Zohaib Hartman,Canada,Zohaib,Hartman
0131,398-367-7522,alivia.armstrong@example.com,['Iphone'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Alivia,Armstrong
0132,372-218-6551,tina.powell@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Tina,Powell
0133,586-280-9496,zack.mcclain@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Zack,Mcclain
0134,649-585-3076,lydia.chan@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Lydia,Chan
0135,971-922-8663,bertie.ward@example.com,"['Android', 'Desktop']","{'City': 'Montreal', 'Country': 'Canada'}",1.0,1.0,0.0,Montreal,Bertie Ward,Canada,Bertie,Ward
0136,731-730-2543,hafsah.booker@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Hafsah,Booker
0137,605-920-3435,india.simmons@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,India,Simmons
0138,561-365-7378,adnan.allen@example.com,"['Android', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Adnan,Allen
0139,476-365-7838,kamran.wilcox@example.com,"['Android', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,1.0,0.0,London,Kamran Wilcox,United Kingdom,Kamran,Wilcox
0140,245-506-5389,gary.hutchinson@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Gary,Hutchinson
0141,473-741-6496,adriana.stafford@example.com,['Iphone'],"{'City': 'Montreal', 'Country': 'Canada'}",0.0,0.0,1.0,Montreal,Adriana Stafford,Canada,Adriana,Stafford
0142,398-369-8927,everly.fuentes@example.com,,,1.0,0.0,0.0,Barcelona,Everly Fuentes,Unknown,Everly,Fuentes
0143,586-175-1970,ian.ho@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Ian,Ho
0144,929-575-4315,emelia.page@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Emelia,Page
0145,354-709-5741,elijah.castaneda@example.com,['Desktop'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Elijah,Castaneda
0146,805-146-4773,edith.walker@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Edith,Walker
0147,153-538-3431,eleanor.mcintosh@example.com,['Android'],"{'City': 'Toronto', 'Country': 'Canada'}",1.0,0.0,0.0,Toronto,Eleanor Mcintosh,Canada,Eleanor,Mcintosh
0148,298-837-9139,maksymilian.crosby@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Maksymilian,Crosby
0149,669-442-8257,abdirahman.mullen@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Toronto', 'Country': 'Canada'}",1.0,1.0,1.0,Toronto,Abdirahman Mullen,Canada,Abdirahman,Mullen
0150,866-155-1011,mariah.castro@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Mariah,Castro
0151,780-200-2871,laiba.ingram@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Laiba,Ingram
0152,830-546-5378,matteo.moon@example.com,"['Android', 'Iphone']","{'City': 'London', 'Country': 'United Kingdom'}",1.0,0.0,1.0,London,Matteo Moon,United Kingdom,Matteo,Moon
0153,411-997-1636,blaine.boyer@example.com,['Desktop'],"{'City': 'London', 'Country': 'United Kingdom'}",0.0,1.0,0.0,London,Blaine Boyer,United Kingdom,Blaine,Boyer
0154,891-190-2889,thomas.english@example.com,['Desktop'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Thomas,English
0155,762-973-4444,lochlan.fitzgerald@example.com,['Desktop'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Lochlan,Fitzgerald
0156,327-292-8469,alia.brooks@example.com,"['Android', 'Desktop']","{'City': 'Montreal', 'Country': 'Canada'}",1.0,1.0,0.0,Montreal,Alia Brooks,Canada,Alia,Brooks
0157,856-144-7655,aimee.duffy@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Aimee,Duffy
0158,558-134-7531,ethan.price@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Ethan,Price
0159,460-231-8743,will.santana@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Will,Santana
0160,619-580-5165,alessia.watts@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Alessia,Watts
0161,805-946-7433,eliza.gordon@example.com,['Android'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Eliza,Gordon
0162,145-824-4775,martina.boyle@example.com,['Desktop'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Martina,Boyle
0163,279-345-3532,talha.austin@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Talha,Austin
0164,130-936-8674,herman.knowles@example.com,"['Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Herman,Knowles
0165,627-954-8991,amira.berg@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Amira,Berg
0166,899-901-3539,darcie.lane@example.com,['Android'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Darcie,Lane
0167,690-396-3965,kurtis.marks@example.com,['Desktop'],"{'City': 'Montreal', 'Country': 'Canada'}",0.0,1.0,0.0,Montreal,Kurtis Marks,Canada,Kurtis,Marks
0168,202-569-8234,josie.pham@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,USA,Josie,Pham
0169,645-829-7495,katy.harrington@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,USA,Katy,Harrington
0170,782-737-6408,macie.payne@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Macie,Payne
0171,220-102-3684,patrick.morse@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Patrick,Morse
0172,421-145-6627,nathaniel.gonzalez@example.com,['Desktop'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,USA,Nathaniel,Gonzalez
0173,406-397-1498,enya.hernandez@example.com,,,0.0,0.0,1.0,Barcelona,Enya Hernandez,Unknown,Enya,Hernandez
0174,254-627-7406,kiera.cotton@example.com,['Android'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,USA,Kiera,Cotton
0175,137-491-6519,tia.potter@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,USA,Tia,Potter
0176,708-692-8746,melvin.flores@example.com,"['Iphone', 'Desktop']","{'City': 'London', 'Country': 'United Kingdom'}",0.0,1.0,1.0,London,Melvin Flores,United Kingdom,Melvin,Flores
