email,telephone_x,promotion,responded,telephone_y,first_name,last_name,city,country,id
rajan.dickson@example.com,,Popsi,Yes,372-775-6929,Rajan,Dickson,,Unknown,0772
william.franco@example.com,,GatorBoost,No,196-468-3312,William,Franco,Toronto,Canada,0918
bethan.franco@example.com,,Popsi,Yes,317-895-5803,Bethan,Franco,Toronto,Canada,0248
daniela.james@example.com,,GatorBoost,Yes,716-145-3987,Daniela,James,,Unknown,0883
brooklyn.fowler@example.com,,Popsi,Yes,933-501-9509,Brooklyn,Fowler,,Unknown,0631
carter.coleman@example.com,,Coca-Splash,Yes,530-826-1153,Carter,Coleman,,Unknown,0237
tristan.valdez@example.com,,Dovee,Yes,109-614-1639,Tristan,Valdez,,Unknown,0538
mateo.francis@example.com,508-390-8347,Dovee,Yes,508-390-8347,Mateo,Francis,,Unknown,0878
mike.hurst@example.com,488-247-6930,Dovee,Yes,488-247-6930,Mike,Hurst,Montreal,Canada,0429
kaine.blankenship@example.com,294-274-7917,RedCow,Yes,294-274-7917,Kaine,Blankenship,,Unknown,0933
dulcie.melendez@example.com,,RedCow,Yes,659-843-5422,Dulcie,Melendez,Barcelona,Spain,0261
brooklyn.gamble@example.com,,Popsi,Yes,187-138-7951,Brooklyn,Gamble,,Unknown,0291
craig.mcknight@example.com,634-813-9351,Oreoz,Yes,634-813-9351,Craig,Mcknight,,Unknown,0564
juliet.gordon@example.com,,Krafty Cheddar,No,647-601-9488,Juliet,Gordon,,Unknown,0421
angela.mcmillan@example.com,,Flixnet,No,868-463-1850,Angela,Mcmillan,London,United Kingdom,0078
tomos.velez@example.com,233-661-3978,RedCow,Yes,233-661-3978,Tomos,Velez,,Unknown,0656
felicity.tran@example.com,,Flixnet,Yes,530-539-9474,Felicity,Tran,,Unknown,0258
patrick.morse@example.com,220-102-3684,KittyKat,Yes,220-102-3684,Patrick,Morse,,Unknown,0171
jim.moses@example.com,560-446-1279,Popsi,Yes,560-446-1279,Jim,Moses,London,United Kingdom,0503
kelvin.hendricks@example.com,,Coca-Splash,No,767-726-4455,Kelvin,Hendricks,,Unknown,0677
alina.walls@example.com,,Oreoz,No,507-883-4629,Alina,Walls,,Unknown,0102
ammar.floyd@example.com,,Dovee,Yes,960-107-6796,Ammar,Floyd,,Unknown,0555
bruno.noble@example.com,,Flixnet,No,639-790-8394,Bruno,Noble,,Unknown,0050
kitty.carroll@example.com,305-617-1384,Coca-Splash,No,305-617-1384,Kitty,Carroll,,Unknown,0511
jayden.meyers@example.com,,Krafty Cheddar,Yes,233-480-8798,Jayden,Meyers,,Unknown,0359
david.bridges@example.com,,RedCow,No,946-447-2454,David,Bridges,,Unknown,0184
kacie.lester@example.com,673-651-6332,GatorBoost,Yes,673-651-6332,Kacie,Lester,Toronto,Canada,0980
tia.ali@example.com,,Dovee,No,507-663-5326,Tia,Ali,,Unknown,0747
anais.ball@example.com,,Dovee,Yes,802-416-6545,Anais,Ball,,Unknown,0753
ann.john@example.com,814-362-6094,RedCow,Yes,814-362-6094,Ann,John,,Unknown,0926
kendra.francis@example.com,,Oreoz,Yes,680-603-3144,Kendra,Francis,,Unknown,0924
zayn.webb@example.com,561-761-7547,GatorBoost,No,561-761-7547,Zayn,Webb,,Unknown,0556
marnie.mayo@example.com,,Oreoz,Yes,725-331-2757,Marnie,Mayo,,Unknown,0976
tiago.dunn@example.com,728-796-4352,Colgatex,Yes,728-796-4352,Tiago,Dunn,,Unknown,0197
khadija.dunlap@example.com,,GatorBoost,Yes,752-472-1641,Khadija,Dunlap,,Unknown,0489
lily.chan@example.com,,KittyKat,Yes,390-911-6534,Lily,Chan,,Unknown,0259
bibi.roberts@example.com,,Krafty Cheddar,Yes,631-796-8801,Bibi,Roberts,,Unknown,0607
orlando.pitts@example.com,,RedCow,Yes,427-711-9658,Orlando,Pitts,,Unknown,0058
ismaeel.schmidt@example.com,,Dovee,Yes,110-478-3409,Ismaeel,Schmidt,,Unknown,0829
brooklyn.fowler@example.com,,Oreoz,Yes,933-501-9509,Brooklyn,Fowler,,Unknown,0631
mariam.campos@example.com,,Oreoz,Yes,102-916-1394,Mariam,Campos,,Unknown,0311
darcey.robles@example.com,,Colgatex,Yes,790-759-5249,Darcey,Robles,London,United Kingdom,0260
everett.fitzpatrick@example.com,,Oreoz,Yes,520-305-7264,Everett,Fitzpatrick,,Unknown,0089
ted.wiggins@example.com,,KittyKat,Yes,153-176-3641,Ted,Wiggins,,Unknown,0936
nelson.huff@example.com,169-619-4582,Coca-Splash,Yes,169-619-4582,Nelson,Huff,,Unknown,0270
aoife.davidson@example.com,628-333-9139,RedCow,Yes,628-333-9139,Aoife,Davidson,London,United Kingdom,0791
liana.baldwin@example.com,,Krafty Cheddar,Yes,736-366-9050,Liana,Baldwin,,Unknown,0888
nancy.blair@example.com,434-174-7916,GatorBoost,No,434-174-7916,Nancy,Blair,Toronto,Canada,0842
saoirse.keller@example.com,699-966-4749,GatorBoost,Yes,699-966-4749,Saoirse,Keller,,Unknown,0069
traci.banks@example.com,313-374-6903,KittyKat,No,313-374-6903,Traci,Banks,,Unknown,0098
miriam.pacheco@example.com,401-464-5796,Krafty Cheddar,Yes,401-464-5796,Miriam,Pacheco,,Unknown,0255
gareth.sanford@example.com,161-842-7749,KittyKat,No,161-842-7749,Gareth,Sanford,,Unknown,0805
kara.shelton@example.com,,Flixnet,No,837-651-6819,Kara,Shelton,Paris,France,0785
arjun.dejesus@example.com,693-790-8692,Dovee,No,693-790-8692,Arjun,Dejesus,,Unknown,0698
bridget.oneill@example.com,,Coca-Splash,No,349-116-7728,Bridget,Oneill,,Unknown,0507
danny.knapp@example.com,665-657-4948,Coca-Splash,No,665-657-4948,Danny,Knapp,,Unknown,0300
fletcher.moreno@example.com,,Flixnet,No,228-202-6360,Fletcher,Moreno,,Unknown,0362
trinity.mora@example.com,,KittyKat,No,406-645-2610,Trinity,Mora,Toronto,Canada,0407
brenda.ingram@example.com,,Colgatex,No,919-358-6885,Brenda,Ingram,Montreal,Canada,0290
phoebe.rodriguez@example.com,,GatorBoost,No,516-779-4464,Phoebe,Rodriguez,,Unknown,0217
katrina.foster@example.com,497-544-5065,KittyKat,No,497-544-5065,Katrina,Foster,London,United Kingdom,0336
larissa.perez@example.com,742-168-6071,Colgatex,No,742-168-6071,Larissa,Perez,London,United Kingdom,0613
polly.reyes@example.com,296-740-3450,GatorBoost,No,296-740-3450,Polly,Reyes,,Unknown,0107
annalise.stephens@example.com,,Dovee,No,853-224-1381,Annalise,Stephens,Toronto,Canada,0591
marissa.hayes@example.com,365-359-3043,Oreoz,No,365-359-3043,Marissa,Hayes,,Unknown,0822
sahil.lyons@example.com,,Oreoz,No,494-702-9881,Sahil,Lyons,Montreal,Canada,0339
brooke.barron@example.com,715-588-5341,Colgatex,No,715-588-5341,Brooke,Barron,,Unknown,0508
clifford.mcgee@example.com,,Coca-Splash,No,715-116-6302,Clifford,Mcgee,,Unknown,0021
hafsah.booker@example.com,,Dovee,No,731-730-2543,Hafsah,Booker,,Unknown,0136
amir.clark@example.com,924-287-4068,Krafty Cheddar,No,924-287-4068,Amir,Clark,London,United Kingdom,0091
herman.knowles@example.com,,Colgatex,No,130-936-8674,Herman,Knowles,,Unknown,0164
lawson.levine@example.com,785-936-5286,GatorBoost,No,785-936-5286,Lawson,Levine,,Unknown,0532
emre.everett@example.com,,Dovee,No,986-281-7506,Emre,Everett,,Unknown,0524
casey.finley@example.com,306-893-4689,RedCow,No,306-893-4689,Casey,Finley,London,United Kingdom,0586
kate.cline@example.com,,KittyKat,No,927-741-2027,Kate,Cline,Toronto,Canada,0229
lucas.mcdowell@example.com,,Dovee,No,841-580-6320,Lucas,Mcdowell,,Unknown,0889
sandra.bowman@example.com,,KittyKat,No,190-234-9749,Sandra,Bowman,,Unknown,0495
rishi.barron@example.com,331-128-4346,Popsi,No,331-128-4346,Rishi,Barron,Montreal,Canada,0608
polly.reyes@example.com,296-740-3450,KittyKat,No,296-740-3450,Polly,Reyes,,Unknown,0107
lucia.cisneros@example.com,,GatorBoost,No,470-574-7167,Lucia,Cisneros,,Unknown,0665
luqman.carrillo@example.com,124-533-2523,Coca-Splash,Yes,124-533-2523,Luqman,Carrillo,,Unknown,0182
cecilia.edwards@example.com,,Popsi,No,941-963-8256,Cecilia,Edwards,London,United Kingdom,0559
oliver.garner@example.com,937-976-2511,Dovee,No,937-976-2511,Oliver,Garner,Paris,France,0715
gabriela.norton@example.com,138-968-6467,Dovee,No,138-968-6467,Gabriela,Norton,,Unknown,0679
alana.koch@example.com,576-828-7913,Coca-Splash,No,576-828-7913,Alana,Koch,Barcelona,Spain,0898
tiana.decker@example.com,,RedCow,No,255-136-3687,Tiana,Decker,London,United Kingdom,0784
harvey.guerrero@example.com,,Popsi,Yes,597-677-6862,Harvey,Guerrero,,Unknown,0014
junior.schwartz@example.com,,Coca-Splash,No,543-252-9069,Junior,Schwartz,,Unknown,0462
macie.payne@example.com,782-737-6408,KittyKat,No,782-737-6408,Macie,Payne,,Unknown,0170
martin.perry@example.com,586-420-6418,GatorBoost,No,586-420-6418,Martin,Perry,Paris,France,0904
